,track,artist,sentiment
0,7 Words,Deftones,anger
1,Limp,Fiona Apple,anger
2,When Girls Telephone Boys,Deftones,anger
3,What I See,Black Flag,anger
4,Room 13,Black Flag,anger
5,Feather in a Baseball Cap,Architecture in Helsinki,anger
6,Chartered Trips,Hüsker Dü,aversion
7,Nothing's Wrong,Architecture in Helsinki,anger
8,Underwater,Architecture in Helsinki,anger
9,Accelerator,Primal Scream,anger
10,#1 Hit Song,Minutemen,aversion
11,Debbie,Architecture in Helsinki,anger
12,Lazy (Lazy),Architecture in Helsinki,anger
13,Kerosene,Big Black,anger
14,The Subtle Arts of Murder and Persuasion,Lamb of God,anger
15,Archives Of Pain,Manic Street Preachers,anger
16,Come to Daddy,Aphex Twin,fear
17,Straitjacket,Alanis Morissette,anger
18,Turn on the News,Hüsker Dü,anger
19,The Politics of Time,Minutemen,aversion
20,I Broke Up,Xiu Xiu,fear
21,59 Times the Pain,Hüsker Dü,anger
22,Muerte,Jedi Mind Tricks,anger
23,Spine,Machine Head,anger
24,She Bathed Herself In A Bath Of Bleach,Manic Street Preachers,anger
25,Habeas Corpses (Draconian Love),El-P,anger
26,P.C.P.,Manic Street Preachers,anger
27,Coma,Stone Temple Pilots,anger
28,Cats Van Bags,Atmosphere,anger
29,Elysium,Lisa Gerrard,fear
30,Scars of the Crucifix,Jedi Mind Tricks,suprised
31,Twist the Knife (Slowly),Napalm Death,anger
32,Feed The Gods,White Zombie,anger
33,Sun Ra,dEUS,anger
34,You Know What You Are,Nine Inch Nails,anger
35,What About,Janet Jackson,anger
36,Devils,Motörhead,anger
37,Razorblade,Blue October,anger
38,Exterminate Annihilate Destroy,Rotersand,anger
39,Take the Mirror,White Lung,anger
40,Out On Bail,2Pac,suprised
41,On Your Way Down,Stabbing Westward,anger
42,So I Quit,Filter,anger
43,People Say I'm No Good,Charles Manson,fear
44,American Cliche,Filter,anger
45,A Pack of Wolves,Black Eyes,suprised
46,"Come To Daddy, Pappy Mix",Aphex Twin,fear
47,Electric Head: The Agony (Pt. 1),White Zombie,anger
48,Spun,Babes in Toyland,anger
49,Furious,Ja Rule,anger
50,A Better Son-Daughter,Rilo Kiley,anger
51,Adam and Eve,Ani DiFranco,anger
52,Greed,Ice Cube,anger
53,Trash,Silverchair,anger
54,I'm A Cloud,Boy Hits Car,anger
55,Garbage Dump,Charles Manson,fear
56,Damaged 1,Black Flag,anger
57,Don't Do Anything Illegal,Charles Manson,fear
58,Broken,Digital Summer,anger
59,Shoot Out At The Fantasy Factory,Traffic,suprised
60,We Don't Need it,Anti-Flag,anger
61,Brain Stew (Live),Green Day,anger
62,Choking Game,Chevelle,suprised
63,Rock N Roll Nigger,Marilyn Manson,anger
64,What a Life,Juliana Hatfield,anger
65,Shout,Michael Jackson,anger
66,Terror,My Ruin,anger
67,Bag Lady,Manic Street Preachers,anger
